source_draw_no,target_draw_no,CandidateNumber,score,engine_score,verifier_score,engine_count,engines,signatures,verifier_info
4051,4052,1819,13.0,3.0,10.0,1,E1_CROSS_PAIR_LINEAR,"M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[3, 6, 3, 0] ## SOLVED_AFFINE|M=[[0, 2, 4, 8], [5, 7, 0, 7], [6, 4, 4, 1], [3, 3, 8, 9]]|B=[5, 0, 8, 9]","{""digit_sum"": 19, ""even"": 1, ""high"": 2, ""high_low_score"": 2.0, ""low"": 2, ""odd"": 3, ""odd_even_score"": 1.0, ""sum_score"": 2.0}"
4051,4052,4849,13.0,3.0,10.0,1,E1_CROSS_PAIR_LINEAR,"M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[2, 0, 3, 4] ## SOLVED_AFFINE|M=[[0, 9, 9, 0], [0, 1, 0, 0], [0, 9, 8, 1], [0, 1, 1, 9]]|B=[2, 2, 2, 3]","{""digit_sum"": 25, ""even"": 3, ""high"": 2, ""high_low_score"": 2.0, ""low"": 2, ""odd"": 1, ""odd_even_score"": 1.0, ""sum_score"": 2.0}"
4051,4052,6427,13.0,3.0,10.0,1,E1_CROSS_PAIR_LINEAR,"M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[3, 6, 3, 0] ## SOLVED_AFFINE|M=[[1, 9, 0, 9], [3, 3, 9, 2], [0, 1, 1, 2], [6, 6, 1, 6]]|B=[0, 0, 0, 2]","{""digit_sum"": 19, ""even"": 3, ""high"": 2, ""high_low_score"": 2.0, ""low"": 2, ""odd"": 1, ""odd_even_score"": 1.0, ""sum_score"": 2.0}"
4051,4052,8376,12.25,2.25,10.0,2,E1_CROSS_PAIR_LINEAR|E4_MARKOV,"SOLVED_AFFINE|M=[[1, 0, 0, 0], [3, 9, 1, 0], [3, 0, 1, 0], [7, 1, 9, 9]]|B=[7, 5, 2, 2] ## MARKOV_COLD_DELTA_7","{""digit_sum"": 24, ""even"": 2, ""high"": 3, ""high_low_score"": 1.0, ""low"": 1, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
4051,4052,2092,12.0,4.0,8.0,1,E1_CROSS_PAIR_LINEAR,"M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[1, 3, 7, 4] ## M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[5, 2, 4, 4]","{""digit_sum"": 13, ""even"": 3, ""high"": 1, ""high_low_score"": 1.0, ""low"": 3, ""odd"": 1, ""odd_even_score"": 1.0, ""sum_score"": 2.0}"
4051,4052,1099,12.0,2.0,10.0,1,E1_CROSS_PAIR_LINEAR,"SOLVED_AFFINE|M=[[2, 0, 0, 0], [6, 4, 2, 0], [8, 9, 9, 0], [0, 1, 0, 0]]|B=[7, 6, 4, 9] ## SOLVED_AFFINE|M=[[1, 0, 0, 0], [4, 0, 9, 0], [2, 0, 2, 9], [1, 1, 0, 0]]|B=[7, 6, 2, 6]","{""digit_sum"": 19, ""even"": 1, ""high"": 2, ""high_low_score"": 2.0, ""low"": 2, ""odd"": 3, ""odd_even_score"": 1.0, ""sum_score"": 2.0}"
4051,4052,1286,12.0,2.0,10.0,1,E1_CROSS_PAIR_LINEAR,"SOLVED_AFFINE|M=[[0, 9, 9, 0], [0, 1, 0, 1], [0, 9, 0, 0], [0, 3, 1, 1]]|B=[1, 1, 0, 3] ## SOLVED_AFFINE|M=[[0, 9, 9, 0], [0, 1, 0, 1], [0, 9, 0, 0], [0, 3, 1, 1]]|B=[1, 1, 0, 3]","{""digit_sum"": 17, ""even"": 3, ""high"": 2, ""high_low_score"": 2.0, ""low"": 2, ""odd"": 1, ""odd_even_score"": 1.0, ""sum_score"": 2.0}"
4051,4052,1716,12.0,2.0,10.0,1,E1_CROSS_PAIR_LINEAR,"SOLVED_AFFINE|M=[[0, 0, 0, 0], [1, 1, 3, 2], [0, 2, 1, 9], [1, 8, 0, 1]]|B=[1, 3, 3, 3] ## SOLVED_AFFINE|M=[[0, 0, 1, 0], [2, 2, 4, 8], [3, 5, 3, 4], [4, 9, 7, 1]]|B=[9, 9, 4, 2]","{""digit_sum"": 15, ""even"": 1, ""high"": 2, ""high_low_score"": 2.0, ""low"": 2, ""odd"": 3, ""odd_even_score"": 1.0, ""sum_score"": 2.0}"
4051,4052,1945,12.0,2.0,10.0,1,E1_CROSS_PAIR_LINEAR,"SOLVED_AFFINE|M=[[2, 0, 0, 0], [7, 8, 4, 1], [1, 9, 3, 0], [3, 0, 8, 9]]|B=[1, 6, 2, 0] ## SOLVED_AFFINE|M=[[2, 0, 0, 0], [8, 7, 9, 2], [1, 1, 0, 0], [1, 9, 9, 0]]|B=[5, 1, 4, 7]","{""digit_sum"": 19, ""even"": 1, ""high"": 2, ""high_low_score"": 2.0, ""low"": 2, ""odd"": 3, ""odd_even_score"": 1.0, ""sum_score"": 2.0}"
4051,4052,3754,12.0,2.0,10.0,1,E1_CROSS_PAIR_LINEAR,"SOLVED_AFFINE|M=[[1, 0, 0, 0], [4, 1, 2, 9], [8, 1, 2, 8], [4, 0, 9, 0]]|B=[0, 6, 9, 1] ## SOLVED_AFFINE|M=[[0, 2, 4, 8], [5, 7, 0, 7], [6, 4, 4, 1], [3, 3, 8, 9]]|B=[5, 0, 8, 9]","{""digit_sum"": 19, ""even"": 1, ""high"": 2, ""high_low_score"": 2.0, ""low"": 2, ""odd"": 3, ""odd_even_score"": 1.0, ""sum_score"": 2.0}"
4051,4052,3945,12.0,2.0,10.0,1,E1_CROSS_PAIR_LINEAR,"SOLVED_AFFINE|M=[[0, 9, 9, 0], [0, 1, 0, 1], [0, 9, 0, 0], [0, 3, 1, 1]]|B=[1, 1, 0, 3] ## SOLVED_AFFINE|M=[[0, 0, 0, 0], [4, 8, 0, 6], [4, 4, 9, 1], [3, 2, 9, 3]]|B=[3, 1, 7, 6]","{""digit_sum"": 21, ""even"": 1, ""high"": 2, ""high_low_score"": 2.0, ""low"": 2, ""odd"": 3, ""odd_even_score"": 1.0, ""sum_score"": 2.0}"
4052,4053,0199,19.08,4.08,15.0,1,E1_CROSS_PAIR_LINEAR,"M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[0, 1, 2, 7] ## SOLVED_AFFINE|M=[[0, 0, 0, 0], [0, 0, 0, 1], [1, 0, 0, 0], [1, 0, 0, 0]]|B=[0, 0, 0, 0] ## SOLVED_AFFINE|M=[[0, 0, 0, 0], [0, 0, 0, 1], [1, 0, 0, 0], [1, 0, 0, 0]]|B=[0, 0, 0, 0]","{""digit_sum"": 19, ""even"": 1, ""high"": 2, ""high_low_score"": 2.0, ""low"": 2, ""odd"": 3, ""odd_even_score"": 1.0, ""sum_score"": 2.0}"
4052,4053,8503,16.08,4.08,12.0,1,E1_CROSS_PAIR_LINEAR,"M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[2, 6, 3, 9] ## M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[3, 7, 6, 5]","{""digit_sum"": 16, ""even"": 2, ""high"": 2, ""high_low_score"": 2.0, ""low"": 2, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
4052,4053,2581,15.059999999999999,3.06,12.0,1,E1_CROSS_PAIR_LINEAR,"M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[3, 2, 3, 4] ## SOLVED_AFFINE|M=[[0, 0, 0, 0], [1, 0, 0, 0], [6, 7, 3, 3], [8, 0, 9, 1]]|B=[2, 3, 6, 8]","{""digit_sum"": 16, ""even"": 2, ""high"": 2, ""high_low_score"": 2.0, ""low"": 2, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
4052,4053,7429,15.059999999999999,3.06,12.0,1,E1_CROSS_PAIR_LINEAR,"M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[1, 3, 2, 2] ## SOLVED_AFFINE|M=[[2, 0, 0, 0], [5, 0, 1, 1], [3, 0, 1, 1], [3, 1, 0, 9]]|B=[7, 2, 0, 3]","{""digit_sum"": 22, ""even"": 2, ""high"": 2, ""high_low_score"": 2.0, ""low"": 2, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
4052,4053,5078,14.08,4.08,10.0,1,E1_CROSS_PAIR_LINEAR,"M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[0, 1, 2, 7] ## M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[0, 5, 9, 6]","{""digit_sum"": 20, ""even"": 2, ""high"": 3, ""high_low_score"": 1.0, ""low"": 1, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
4052,4053,5874,14.08,4.08,10.0,1,E1_CROSS_PAIR_LINEAR,"SOLVED_AFFINE|M=[[2, 0, 0, 0], [9, 9, 1, 0], [8, 2, 1, 0], [3, 1, 9, 0]]|B=[7, 3, 0, 1] ## SOLVED_AFFINE|M=[[2, 0, 0, 0], [9, 9, 1, 0], [8, 2, 1, 0], [3, 1, 9, 0]]|B=[7, 3, 0, 1]","{""digit_sum"": 24, ""even"": 2, ""high"": 3, ""high_low_score"": 1.0, ""low"": 1, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
4052,4053,9096,14.08,4.08,10.0,1,E1_CROSS_PAIR_LINEAR,"M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[4, 2, 5, 8] ## SOLVED_AFFINE|M=[[2, 0, 0, 0], [9, 9, 1, 0], [8, 2, 1, 0], [3, 1, 9, 0]]|B=[7, 3, 0, 1]","{""digit_sum"": 24, ""even"": 2, ""high"": 3, ""high_low_score"": 1.0, ""low"": 1, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
4052,4053,0277,14.04,2.04,12.0,1,E1_CROSS_PAIR_LINEAR,"SOLVED_AFFINE|M=[[0, 0, 0, 0], [0, 0, 0, 1], [1, 0, 0, 0], [1, 0, 0, 0]]|B=[0, 0, 0, 0] ## SOLVED_AFFINE|M=[[0, 0, 0, 0], [0, 0, 0, 1], [1, 0, 0, 0], [1, 0, 0, 0]]|B=[0, 0, 0, 0]","{""digit_sum"": 16, ""even"": 2, ""high"": 2, ""high_low_score"": 2.0, ""low"": 2, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
4052,4053,3485,14.04,2.04,12.0,1,E1_CROSS_PAIR_LINEAR,"SOLVED_AFFINE|M=[[6, 4, 9, 3], [4, 0, 6, 8], [4, 7, 7, 5], [0, 1, 6, 9]]|B=[8, 4, 8, 9] ## SOLVED_AFFINE|M=[[0, 0, 0, 0], [1, 0, 0, 0], [6, 9, 9, 0], [2, 2, 3, 9]]|B=[3, 9, 0, 5]","{""digit_sum"": 20, ""even"": 2, ""high"": 2, ""high_low_score"": 2.0, ""low"": 2, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
4052,4053,1838,13.274999999999999,1.275,12.0,2,E1_CROSS_PAIR_LINEAR|E4_MARKOV,"SOLVED_AFFINE|M=[[4, 1, 0, 0], [4, 0, 1, 1], [2, 8, 9, 8], [4, 0, 1, 0]]|B=[3, 6, 9, 4] ## MARKOV_COLD_DELTA_7","{""digit_sum"": 20, ""even"": 2, ""high"": 2, ""high_low_score"": 2.0, ""low"": 2, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
4052,4053,2259,13.274999999999999,1.275,12.0,2,E1_CROSS_PAIR_LINEAR|E4_MARKOV,"SOLVED_AFFINE|M=[[0, 0, 0, 0], [3, 9, 0, 3], [9, 9, 7, 9], [1, 0, 9, 9]]|B=[2, 6, 1, 4] ## MARKOV_COLD_DELTA_7","{""digit_sum"": 18, ""even"": 2, ""high"": 2, ""high_low_score"": 2.0, ""low"": 2, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
4052,4053,3874,13.274999999999999,1.275,12.0,2,E1_CROSS_PAIR_LINEAR|E4_MARKOV,"SOLVED_AFFINE|M=[[0, 0, 0, 0], [1, 0, 0, 0], [6, 9, 9, 0], [2, 2, 3, 9]]|B=[3, 9, 0, 5] ## MARKOV_COLD_DELTA_7","{""digit_sum"": 22, ""even"": 2, ""high"": 2, ""high_low_score"": 2.0, ""low"": 2, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
4052,4053,9630,13.274999999999999,1.275,12.0,2,E1_CROSS_PAIR_LINEAR|E4_MARKOV,"SOLVED_AFFINE|M=[[1, 0, 0, 0], [8, 1, 1, 0], [4, 9, 9, 0], [0, 1, 0, 0]]|B=[0, 0, 1, 0] ## MARKOV_COLD_DELTA_7","{""digit_sum"": 18, ""even"": 2, ""high"": 2, ""high_low_score"": 2.0, ""low"": 2, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
4052,4053,0363,13.059999999999999,3.06,10.0,2,E1_CROSS_PAIR_LINEAR|E2_SET_PROJECTOR,"M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[1, 3, 2, 2] ## SET_PROJECTOR|M=[[1, 0, 0, 0], [0, 1, 9, 0], [0, 0, 1, 1], [0, 0, 0, 1]]|B=[1, 3, 6, 1]","{""digit_sum"": 12, ""even"": 2, ""high"": 1, ""high_low_score"": 1.0, ""low"": 3, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
4052,4053,3720,13.059999999999999,3.06,10.0,1,E1_CROSS_PAIR_LINEAR,"M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[2, 6, 3, 9] ## SOLVED_AFFINE|M=[[0, 0, 0, 0], [2, 7, 0, 7], [8, 2, 0, 8], [0, 0, 0, 2]]|B=[3, 3, 8, 4]","{""digit_sum"": 12, ""even"": 2, ""high"": 1, ""high_low_score"": 1.0, ""low"": 3, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
4052,4053,7034,13.059999999999999,3.06,10.0,1,E1_CROSS_PAIR_LINEAR,"SOLVED_AFFINE|M=[[2, 0, 0, 0], [9, 9, 1, 0], [8, 2, 1, 0], [3, 1, 9, 0]]|B=[7, 3, 0, 1] ## SOLVED_AFFINE|M=[[1, 5, 0, 2], [2, 2, 0, 2], [6, 6, 8, 1], [5, 2, 4, 6]]|B=[1, 2, 5, 5]","{""digit_sum"": 14, ""even"": 2, ""high"": 1, ""high_low_score"": 1.0, ""low"": 3, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
4052,4053,6693,12.295,2.295,10.0,2,E1_CROSS_PAIR_LINEAR|E4_MARKOV,"M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[0, 5, 9, 6] ## MARKOV_COLD_DELTA_1","{""digit_sum"": 24, ""even"": 2, ""high"": 3, ""high_low_score"": 1.0, ""low"": 1, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
4052,4053,4856,12.08,4.08,8.0,1,E1_CROSS_PAIR_LINEAR,"M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[0, 6, 4, 0] ## M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[3, 7, 6, 5]","{""digit_sum"": 23, ""even"": 3, ""high"": 3, ""high_low_score"": 1.0, ""low"": 1, ""odd"": 1, ""odd_even_score"": 1.0, ""sum_score"": 2.0}"
4052,4053,1094,12.04,2.04,10.0,2,E1_CROSS_PAIR_LINEAR|E2_SET_PROJECTOR,"SOLVED_AFFINE|M=[[2, 0, 8, 2], [2, 0, 9, 1], [4, 9, 4, 1], [1, 1, 8, 4]]|B=[1, 0, 0, 3] ## SET_MEAN_SHIFT|M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[1, 8, 0, 1]","{""digit_sum"": 14, ""even"": 2, ""high"": 1, ""high_low_score"": 1.0, ""low"": 3, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
4052,4053,1653,12.04,2.04,10.0,2,E2_SET_PROJECTOR|E3_POLYNOMIAL,"SET_PROJECTOR|M=[[1, 0, 0, 0], [0, 1, 9, 0], [0, 0, 1, 1], [0, 0, 0, 1]]|B=[1, 3, 6, 1] ## POLY_POWER_2_MEAN_SHIFT=[5, 5, 5, 4]","{""digit_sum"": 15, ""even"": 1, ""high"": 2, ""high_low_score"": 2.0, ""low"": 2, ""odd"": 3, ""odd_even_score"": 1.0, ""sum_score"": 2.0}"
4052,4053,3656,12.04,2.04,10.0,2,E1_CROSS_PAIR_LINEAR|E2_SET_PROJECTOR,"SOLVED_AFFINE|M=[[9, 1, 0, 8], [4, 7, 3, 7], [9, 1, 0, 9], [6, 3, 0, 6]]|B=[7, 4, 6, 2] ## SET_MEAN_SHIFT|M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[1, 8, 0, 1]","{""digit_sum"": 20, ""even"": 2, ""high"": 3, ""high_low_score"": 1.0, ""low"": 1, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
4052,4053,7415,12.04,2.04,10.0,2,E1_CROSS_PAIR_LINEAR|E2_SET_PROJECTOR,"SOLVED_AFFINE|M=[[1, 0, 0, 0], [8, 1, 1, 0], [4, 9, 9, 0], [0, 1, 0, 0]]|B=[0, 0, 1, 0] ## SET_MEAN_SHIFT|M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[1, 8, 0, 1]","{""digit_sum"": 17, ""even"": 1, ""high"": 2, ""high_low_score"": 2.0, ""low"": 2, ""odd"": 3, ""odd_even_score"": 1.0, ""sum_score"": 2.0}"
4052,4053,7908,12.04,2.04,10.0,2,E1_CROSS_PAIR_LINEAR|E2_SET_PROJECTOR,"SOLVED_AFFINE|M=[[2, 0, 8, 2], [2, 0, 9, 1], [4, 9, 4, 1], [1, 1, 8, 4]]|B=[1, 0, 0, 3] ## SET_MEAN_SHIFT|M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[1, 8, 0, 1]","{""digit_sum"": 24, ""even"": 2, ""high"": 3, ""high_low_score"": 1.0, ""low"": 1, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
